StudentID,DeviceType,Study_Hours,Engagement_Score,Performance_Rating,Department,AgeGroup,Region,Internet_Performance_Impact
1,Desktop,5.2,66.84,69.39,Arts,18-22,North,2.14
2,Hybrid Device,5.5,77.16,67.24,Arts,Under 18,South,-2.14
3,Tablet,4.4,79.94,72.29,Engineering,18-22,North,-6.05
4,Hybrid Device,5.3,60.21,74.71,Business,23-30,West,-7.88
5,Hybrid Device,6.2,72.73,67.06,Arts,Under 18,West,-7.59
6,Smartphone,4.1,72.27,79.53,Medical,18-22,Central,3.0
7,Tablet,4.4,64.73,77.78,Medical,18-22,West,-8.15
8,Tablet,6.0,71.58,74.83,Sciences,Under 18,Central,-4.23
9,Tablet,4.8,70.75,74.91,Arts,Under 18,West,-4.99
10,Hybrid Device,5.2,70.34,74.38,Sciences,Under 18,West,2.98
11,Desktop,5.2,76.47,71.47,Arts,Under 18,South,-2.83
12,Tablet,5.2,76.4,81.19,Engineering,Under 18,Central,4.95
13,Hybrid Device,7.0,63.71,68.74,Arts,18-22,Central,1.06
14,Smartphone,4.1,81.76,71.67,Business,Under 18,West,2.76
15,Desktop,6.9,71.94,77.83,Medical,Under 18,Central,-8.52
16,Smartphone,3.9,72.88,76.03,Engineering,23-30,West,-6.2
17,Desktop,5.9,71.75,81.45,Medical,18-22,West,-7.97
18,Hybrid Device,6.0,50.69,70.04,Sciences,23-30,North,-3.05
19,Laptop,6.4,79.26,80.53,Engineering,18-22,Central,0.77
20,Desktop,5.7,66.16,70.76,Business,18-22,East,-7.46
21,Smartphone,4.7,69.0,84.01,Medical,18-22,Central,-8.05
22,Hybrid Device,5.1,74.26,74.49,Arts,Under 18,Central,-0.78
23,Desktop,5.9,68.21,74.9,Arts,23-30,South,-6.55
24,Laptop,6.0,69.71,73.1,Arts,18-22,East,-2.81
25,Laptop,6.2,62.65,73.42,Engineering,18-22,East,-9.23
26,Tablet,4.6,62.08,77.06,Business,18-22,South,0.21
27,Tablet,4.9,68.13,72.03,Business,23-30,South,-1.88
28,Smartphone,4.0,64.74,78.97,Business,18-22,Central,-0.29
29,Desktop,6.4,53.44,78.17,Medical,23-30,North,-5.87
30,Desktop,6.5,62.49,75.27,Engineering,23-30,South,-5.82
31,Tablet,5.5,82.04,74.18,Arts,Under 18,East,2.02
32,Desktop,5.7,65.58,75.13,Medical,18-22,East,0.78
33,Desktop,7.0,65.53,71.94,Business,18-22,Central,-1.3
34,Laptop,6.7,70.85,69.22,Arts,23-30,North,-0.58
35,Tablet,4.5,53.7,79.01,Engineering,23-30,West,-8.59
36,Hybrid Device,5.4,79.25,75.18,Sciences,Under 18,South,2.84
37,Tablet,4.6,79.1,76.69,Business,18-22,South,1.55
38,Hybrid Device,5.9,71.03,78.8,Business,23-30,Central,-1.14
39,Laptop,6.7,61.24,71.21,Business,18-22,North,3.78
40,Smartphone,4.6,66.4,75.22,Business,18-22,East,-7.47
